ID;VERSION;VERSION_TIME;NAME;BRAND;STREET;HOUSE_NUMBER;POST_CODE;PLACE;PUBLIC_HOLIDAY_IDENTIFIER;LAT;LNG
acbd1515-cc0e-4c35-a49b-4f8a138982b2;1;"2013-07-25 14:24:33.000000";"Aral Tankstelle";ARAL;"Breslauer Straße";2;67245;Lambsheim;\N;49.50482;8.2913969
2f745ce5-ebc5-4164-987d-4adbd2b21390;1;"2013-07-25 14:24:33.000000";"Aral Tankstelle";ARAL;"Alzeyer Straße";71;67549;Worms;\N;49.6322936;8.3419609
45f01489-238e-4d5a-ba33-d95fa81d617f;1;"2013-07-25 14:24:33.000000";"Aral Tankstelle";ARAL;"Harxheimer Straße";1;67591;Wachenheim;\N;49.6366844;8.1643109
20f7558b-fa2a-4de8-b2a7-58f534d2c0d7;1;"2013-07-25 14:24:33.000000";"Aral Tankstelle";ARAL;Odenwaldstraße;7;67551;Worms-Pfeddersheim;\N;49.6343346;8.280931
a4885036-aac6-4d7b-8c8d-51257a86c29d;1;"2013-07-25 14:24:33.000000";"Aral Tankstelle";ARAL;Bezirksstraße;16;67122;Altrip;\N;49.434967;8.484531
d3b397af-5b06-47c7-b3a1-deb3f835ff7e;1;"2013-07-25 14:25:47.000000";"Aral Tankstelle";ARAL;Weinstraße;90;67278;Bockenheim;\N;49.608467;8.1816429
ae352384-e0d1-4079-aebc-ecff4f27ebcd;1;"2013-07-25 14:25:47.000000";"Aral Tankstelle";ARAL;"Mannheimer Straße";112;67098;"Bad Dürkheim";\N;49.46323;8.186616
338988f0-73da-4db4-8f5f-60865c7f3a04;2;"2013-08-02 03:44:20.000000";"Aral Tankstelle";ARAL;"Zweibrücker Straße";130;66954;Pirmasens;\N;49.21394;7.5974539
b12bf789-1d71-435e-85f5-99852fa6722d;2;"2013-08-02 03:44:20.000000";"Aral Tankstelle";ARAL;Hauptstraße;10;67697;Otterberg;\N;49.4992064;7.7727719
2311a16f-1093-427b-8649-a42e24ad58b0;2;"2013-08-02 03:44:20.000000";"Aral Tankstelle";ARAL;Hauptstraße;73;67734;Katzweiler;\N;49.5046499;7.6923979
76165ca6-3b50-4d24-854a-f079f26321e8;3;"2013-08-23 04:34:23.000000";"Aral Tankstelle";ARAL;Prälat-Caire-Straße;14;67071;Ludwigshafen;\N;49.49206;8.383311
3351c003-c3ee-4e84-922a-d7901fc7b2a6;3;"2013-08-23 04:34:23.000000";"Aral Tankstelle";ARAL;Brunckstraße;100;67063;Ludwigshafen;\N;49.5038071;8.4125999
11499e44-ea4b-4392-bcf0-68d4a1e689b9;3;"2013-08-23 04:34:23.000000";"Aral Tankstelle";ARAL;Industriestraße;5a;67346;Speyer;\N;49.30973;8.444535
b7a65da4-a0f3-4339-b72b-5d951ac03c73;3;"2013-08-23 04:34:23.000000";"Aral Tankstelle";ARAL;"Mainzer Straße";117;67657;Kaiserslautern;\N;49.4557532;7.795879
87a7fab0-1458-42f6-989c-8b78b81e8d6a;3;"2013-08-23 04:34:23.000000";"Aral Tankstelle";ARAL;"Mainzer Straße";140;67547;Worms;\N;49.6547356;8.3593949
51d4b599-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET KARLSRUHE HAID-UND-NEU-STR. 30 A";JET;"HAID-UND-NEU-STR. 30 A";\N;76131;KARLSRUHE;\N;49.0131;8.42848
9e737970-c96e-4471-b0a2-b992f9a67666;5;"2015-08-31 14:01:32.000000";"KARLSRUHE - NEUREUTER STR. 5";Agip;"Neureuter Str.";5;76185;Karlsruhe;deBW;49.01733;8.35405
f1368b84-91b1-47a4-bf76-3dc2992c0add;3;"2013-08-23 04:34:47.000000";"Aral Tankstelle";ARAL;Nibelungenstraße;197;68642;Bürstadt;\N;49.6457253;8.4732769
e9d458c1-7df8-47a5-b959-1e8231d8b767;3;"2013-08-23 04:34:47.000000";"Aral Tankstelle";ARAL;"Pariser Straße";202;67663;Kaiserslautern;\N;49.44062;7.742649
826413ee-b130-4e06-bb16-ac44013380ad;3;"2013-08-23 04:34:47.000000";"Aral Tankstelle";ARAL;Kaiserstraße;110;66849;Landstuhl;\N;49.4140052;7.5824629
d4d2ffc7-db50-4dc2-89a7-f10eb0d391b8;3;"2013-08-23 04:34:47.000000";"Aral Tankstelle";ARAL;"Bischheimer Straße";9;67292;Kirchheimbolanden;\N;49.66857;8.02008
f2d46ca3-641b-44c3-8fe5-3c047026973f;3;"2013-08-23 04:34:47.000000";"Aral Tankstelle";ARAL;"Frankenthaler Straße";86;68307;Mannheim;\N;49.5501136;8.449075
d366d4bb-f334-4a39-8d1e-008da3b3c9f7;3;"2013-08-23 04:34:48.000000";"Aral Tankstelle";ARAL;Rheinstraße;128;76870;Kandel;\N;49.085266;8.2102039
7aba81ed-e67c-4015-9d32-fac5682e826f;3;"2013-08-23 04:34:48.000000";"Aral Tankstelle";ARAL;Amalienstraße;55/59;76133;Karlsruhe;\N;49.0092162;8.3908729
1c9212bc-bf5e-424d-a1f5-5b628dc146b5;3;"2013-08-23 04:34:48.000000";"Aral Tankstelle";ARAL;Kaiserallee;12G;76133;Karlsruhe;\N;49.0113144;8.3750619
4648e422-3136-4019-8c68-3a11e4d099c1;3;"2013-08-23 04:35:27.000000";"Aral Tankstelle";ARAL;"Karlsruher Straße";50a;76275;Ettlingen;\N;48.9573746;8.406625
b344c82c-b7aa-4afa-8d47-af9219038847;3;"2013-08-23 04:35:28.000000";"Aral Tankstelle";ARAL;Mahlastraße;37;67227;Frankenthal;\N;49.5260499;8.3549319
8c36f834-0060-4623-8213-6f6eb98cd69a;3;"2013-08-23 04:35:28.000000";"Aral Tankstelle";ARAL;Hafenstraße;19-21;68159;Mannheim;\N;49.4940567;8.4570629
