Latitude,Longitude
49.40943000,8.692860000
49.40936000,8.692860000
49.40915000,8.692490000
49.40897000,8.692360000
49.40763000,8.692570000
49.40681000,8.692680000
49.40607000,8.692650000
49.40599000,8.692700000
49.40312000,8.691850000
49.40028000,8.690710000
49.39941000,8.690300000
49.39933000,8.690240000
49.39877000,8.689370000
49.39842000,8.689380000
49.39566000,8.689850000
49.39198000,8.690220000
49.38605000,8.690500000
49.38410000,8.690420000
49.38377000,8.690400000
49.38389000,8.686740000
49.38067000,8.687200000
49.38061000,8.687160000
49.37965000,8.687200000
49.37959000,8.687270000
49.37798000,8.687410000
49.37792000,8.687360000
49.37479000,8.687530000
49.36902000,8.687970000
49.36536000,8.688340000
49.35984000,8.688990000
49.35949000,8.689040000
49.35930000,8.689150000
49.35882000,8.689210000
49.35599000,8.689280000
49.35416000,8.689200000
49.35092000,8.689150000
49.35030000,8.689090000
49.34933000,8.688870000
49.34820000,8.688730000
49.34760000,8.688930000
49.34730000,8.689110000
49.34700000,8.689340000
49.34672000,8.689640000
49.34568000,8.691120000
49.34469000,8.692210000
49.34426000,8.692580000
49.34336000,8.693230000
49.34241000,8.693700000
49.34184000,8.693880000
49.33720000,8.694800000
49.33609000,8.694860000
49.33402000,8.694790000
49.33367000,8.694720000
49.33228000,8.694080000
49.33079000,8.693510000
49.33027000,8.693380000
49.32975000,8.693350000
49.32884000,8.693650000
49.32633000,8.695180000
49.32562000,8.695180000
49.32474000,8.695300000
49.32361000,8.695440000
49.32323000,8.695700000
49.32301000,8.695780000
49.32238000,8.695720000
49.32233000,8.695600000
49.32221000,8.695560000
49.32213000,8.695630000
49.32211000,8.695780000
49.31812000,8.696920000
49.31650000,8.697900000
49.31458000,8.698230000
49.31425000,8.698330000
49.31228000,8.699360000
49.31084000,8.699880000
49.31039000,8.699880000
49.30896000,8.699240000
49.30752000,8.698770000
49.30695000,8.698320000
49.30664000,8.698150000
49.30509000,8.697500000
49.30445000,8.697150000
49.30430000,8.697050000
49.30412000,8.696770000
49.29969000,8.699780000
49.29939000,8.699850000
49.29774000,8.699790000
49.29698000,8.699830000
49.29650000,8.700540000
49.29628000,8.701000000
49.29576000,8.701450000
49.29533000,8.701580000
49.29467000,8.702140000
49.29449000,8.702170000
49.29413000,8.702000000
49.29388000,8.701860000
49.29349000,8.701490000
49.29340000,8.701310000
49.29332000,8.700600000
49.29302000,8.699010000
49.29306000,8.697580000
49.29302000,8.697450000
49.29124000,8.697470000
49.29069000,8.697400000
49.29048000,8.697250000
49.28934000,8.695960000
49.28935000,8.695790000
49.28925000,8.695590000
49.28916000,8.695590000
49.28908000,8.695700000
49.28840000,8.695010000
49.28776000,8.694450000
49.28704000,8.693900000
49.28672000,8.693760000
49.28621000,8.693630000
49.28550000,8.693730000
49.28543000,8.693740000
49.28513000,8.692050000
49.28469000,8.690280000
49.28334000,8.686170000
49.28285000,8.684820000
49.28210000,8.683690000
49.27696000,8.676760000
49.27535000,8.674670000
49.27463000,8.673610000
49.27330000,8.672020000
49.27283000,8.671610000
49.27253000,8.671340000
49.27153000,8.670760000
49.27096000,8.670470000
49.26928000,8.669850000
49.26902000,8.669630000
49.26865000,8.669160000
